IDEscala	IDSubEscala	IDClasse	IDCategoria	NomCategoria	BreuCategoria
1	101	10100	1010001	De entrada	ENT
1	101	10100	1010002	Superior	SUP
1	102	10200	1020001	De entrada	ENT
1	102	10200	1020002	Superior	SUP
1	103	10300	1030000		
2	201	20100	2010000		
2	202	20200	2020000		
2	203	20300	2030000		
2	204	20400	2040000		
2	205	20500	2050000		
3	301	30101	3010101	Titulats/des superiors	SUP
3	301	30102	3010201	Tècnics/ques de grau mitjà	MIT
3	301	30103	3010301	Tècnics/ques auxiliars	AUX
3	301	30103	3010302	Auxiliars tècnics/ques	TEC
3	302	30201	3020101	Superintendents	SIN
3	302	30201	3020102	Intendents majors	INM
3	302	30201	3020103	Intendents	INT
3	302	30201	3020104	Inspectors	INS
3	302	30201	3020105	Sots-inspectors	SIN
3	302	30201	3020106	Sergents	SGT
3	302	30201	3020107	Caporals	CAP
3	302	30201	3020108	Agents	AGN
3	302	30202	3020201	Oficials	OFI
3	302	30202	3020202	Suboficials	SOF
3	302	30202	3020203	Sergents	SGT
3	302	30202	3020204	Caporals	CAP
3	302	30202	3020205	Bombers	BOM
3	302	30203	3020300		
3	302	30204	3020400		
