IDComplementEspecificGral	NomComplementEspecificGral	ImportComplementEspecificGral	DisminucioImportComplementEspecificGral	ImportComplementEspecificGral_Nou	DisminucioImportComplementEspecificGral_Nou
1	CEG1	3279,64	151,07		
2	CEG2	3157,78	151,07		
3	CEG3	3261,21	151,07		
4	CEG4	3036,23	151,07		
5	CEG5	3052,39	151,07		
6	CEG6	2595,86	151,07		
7	CEG7	2562,4	151,07		
8	CEG8	2455,25	151,07		
9	CEG9	0	151,07		
10	CEG10	2180,36	151,07		
11	CEG11	2134,66	151,07		
12	CEG12	1816,14	151,07		
13	CEG13	1894,36	151,07		
14	CEG14	1807,63	151,07		
15	CEG15	1761,97	151,07		
16	CEG16	1726,65	151,07		
17	CEG17	1708,99	151,07		
18	CEG18	1694,03	151,07		
19	CEG19	1545,95	151,07		
20	CEG20	1465,09	151,07		
21	CEG21	1395,85	151,07		
22	CEG22	1304,4	151,07		
23	CEG23	1275,58	151,07		
24	CEG24	1205,5	151,07		
25	CEG25	1195,54	151,07		
26	CEG26	1157,32	151,07		
27	CEG27	1148,93	151,07		
28	CEG28	986,64	151,07		
29	CEG29	1126,46	151,07		
30	CEG30	947,66	151,07		
31	CEG31	925,67	151,07		
32	CEG32	940,12	151,07		
33	CEG33	0	151,07		
34	CEG34	912,01	151,07		
35	CEG35	846,82	151,07		
36	CEG36	837,42	151,07		
37	CEG37	828,18	151,07		
38	CEG38	827,01	151,07		
39	CEG39	809,54	151,07		
40	CEG40	783,38	151,07		
41	CEG41	781,47	151,07		
42	CEG42	777,51	151,07		
43	CEG43	752,48	151,07		
44	CEG44	736,74	151,07		
45	CEG45	738,57	151,07		
46	CEG46	734,3	151,07		
47	CEG47	725,66	151,07		
48	CEG48	699,49	151,07		
49	CEG49	692	151,07		
50	CEG50	648,39	151,07		
51	CEG51	637,36	151,07		
52	CEG52	579,79	151,07		
53	CEG53	450	151,07		
54	CEG54	255,14	151,07		
55	CEG55	1836,47	151,07		
56	CEG56	1153,47	151,07		
57	CEG57	860,33	151,07		
58	CEG58	772,26	151,07		
59	CEG59	748,98	151,07		
60	CEG60	725,08	151,07		
61	CEG61	723,73	151,07		
62	CEG62	730,94	151,07		
63	CEG63	580,37	151,07		
64	CEG64	742,3	151,07		
65	CEG65	770,96	151,07		
66	CEG66	2287,15	151,07		
67	CEG67	2445,38	151,07		
68	CEG68	2475,31	151,07		
69	CEG69	838,66	151,07		
70	CEG70	3346,86	151,07		
71	CEG71	2158,76	151,07		
72	CEG72	2664,57	151,07		
73	CEG73	2790,87	151,07		
74	CEG74	2657,93	151,07		
75	CEG75	2056,41	151,07		
76	CEG76	1028,49	151,07		
77	CEG77	1286	151,07		
78	CEG78	2368,08	151,07	0	0
