IDComplementEspecificGral	NomComplementEspecificGral	ImportComplementEspecificGral	DisminucioImportComplementEspecificGral	ImportComplementEspecificGral_Nou	DisminucioImportComplementEspecificGral_Nou
1	CEG1	3045,46	123,08		
2	CEG2	2932,31	123,08		
3	CEG3	3028,35	123,08		
4	CEG4	2819,44	123,08		
5	CEG5	2834,44	123,08		
6	CEG6	2410,51	123,08		
7	CEG7	2379,45	123,08		
8	CEG8	2279,95	123,08		
9	CEG9	0	123,08		
10	CEG10	2024,67	123,08		
11	CEG11	1982,24	123,08		
12	CEG12	1686,47	123,08		
13	CEG13	1759,09	123,08		
14	CEG14	1678,57	123,08		
15	CEG15	1636,16	123,08		
16	CEG16	1603,36	123,08		
17	CEG17	1586,97	123,08		
18	CEG18	1573,08	123,08		
19	CEG19	1435,56	123,08		
20	CEG20	1360,47	123,08		
21	CEG21	1296,18	123,08		
22	CEG22	1211,26	123,08		
23	CEG23	1184,5	123,08		
24	CEG24	1119,12	131,94		
25	CEG25	1110,18	123,08		
26	CEG26	1074,7	123,08		
27	CEG27	1066,89	123,08		
28	CEG28	915,88	131,94		
29	CEG29	1046,01	123,08		
30	CEG30	879,99	123,08		
31	CEG31	859,58	123,08		
32	CEG32	872,99	123,08		
33	CEG33	0	123,08		
34	CEG34	846,9	123,08		
35	CEG35	786,35	123,08		
36	CEG36	777,63	123,08		
37	CEG37	769,05	123,08		
38	CEG38	767,97	123,08		
39	CEG39	751,74	123,08		
40	CEG40	727,44	123,08		
41	CEG41	725,67	123,08		
42	CEG42	722	123,08		
43	CEG43	698,75	123,08		
44	CEG44	684,15	123,08		
45	CEG45	685,84	123,08		
46	CEG46	681,86	123,08		
47	CEG47	673,86	123,08		
48	CEG48	649,54	123,08		
49	CEG49	642,58	123,08		
50	CEG50	602,1	123,08		
51	CEG51	591,86	123,08		
52	CEG52	538,39	123,08		
53	CEG53	417,87	123,08		
54	CEG54	236,93	123,08		
55	CEG55	1705,34	123,08		
56	CEG56	1071,11	123,08		
57	CEG57	798,91	123,08		
58	CEG58	717,12	123,08		
59	CEG59	695,49	123,08		
60	CEG60	673,3	123,08		
61	CEG61	672,05	123,08		
62	CEG62	678,73	123,08		
63	CEG63	538,93	123,08		
64	CEG64	689,3	123,08		
65	CEG65	715,91	123,08		
66	CEG66	2123,84	123,08		
67	CEG67	2270,78	123,08		
68	CEG68	2298,56	123,08		
69	CEG69	778,77	123,08		
70	CEG70	3107,89	123,08		
71	CEG71	2004,62	123,08		
72	CEG72	2474,31	123,08		
73	CEG73	2591,59	123,08		
74	CEG74	2468,15	123,08		
75	CEG75	1947,77	123,08		
76	CEG76	954,79	123,08		
