IDEpigrafCotitzacio	Empresa1	Empresa2	Empresa3	Empresa4	Empresa5A	Empresa5B	Empresa5C	Empresa5D	Empresa5E	EmpresaET
097	0,384435	0,318	0,3755	0	0,3775	0,387	0,397	0,47196	0,48196	0
108	0	0	0	0	0,342	0,3415	0,3615	0,42646	0,44646	0
113	0,318335	0,2519	0,3094	0,375835	0,3114	0,3209	0,3309	0,40586	0,41596	0
115	0	0	0	0	0,3195	0,329	0,339	0,41396	0,42396	0
116	0,353435	0,287	0,3445	0	0,3465	0,356	0,366	0,44096	0,45096	0
117	0	0	0	0	0,3456	0,3551	0,3651	0,44006	0,45006	0
119	0,328235	0,2618	0,3193	0,385735	0,3213	0,3308	0,3408	0,41576	0,42576	0
120	0	0	0	0	0,3177	0,3272	0,3372	0,41216	0,42216	0
121	0	0	0	0	0,3375	0,347	0,357	0,43196	0,441396	0
126	0	0	0	0	0,3096	0,3191	0,3291	0,40406	0,41406	0
900	0	0	0	0	0	0	0	0	0	0
