IDPrograma	IDSubFuncio	Numero	NomPrograma	IDResponsable	Descripcio
0111	011	1	Endeutament	210001	Càrrega financera per operacions de crèdit.
1111	111	1	Despeses dels òrgans de govern i d'Alcaldia	100001	- Assignacions i indemnitzacions del President i altres membres de la Corporació.  - Retribucions del personal de l'àrea d'Alcaldia. - Dietes i despeses de viatges, i altres despeses de naturalesa anàloga, dels membres de la Corporació, i dels grups polítics. - Despeses generals dels òrgans de govern i de l'àrea d'Alcaldia.
1112	111	2	Dietes, despeses de viatges i altres anàlogues, de membres de la Corporació	100001	
1211	121	1	Serveis generals	200001	Serveis que tenen com a finalitat donar els mitjans materials necessaries a la resta de Negociats de l'Ajuntament per tal de que aquests puguin assolir els seus objetius.
1212	121	2	Personal i organització	205001	Gestió de personal no assignat a programes específics.
1213	121	3	Informàtica	205401	Programa que recull totes les despeses en serveis informàtics que no s'hagin distribuit entre les diferentes activitats que presta l'Ajuntament
1214	121	4	Secretaria i serveis jurídics	203001	Recull totes les despeses de secretaria i serveis juridics
1215	121	5	Administració general de les àrees	100001	
1216	121	6	Comunicació i imatge corporativa	102001	Activitats de comunicació interna i externa derivades de l'actuació municipal, i gestió de la imatge corporativa.
1217	121	7	Suport a l'activitat institucional	101001	Activitats derivades del protocol institucional comú o d'Alcaldia, així com materials i altres complements necessaris per al seu desenvolupament.
1218	121	8	Millora organitzativa	100001	Activitats per a la millora de l'organització municipal i la gestió de la qualitat. Pla de Reestructuració de l'Organització Municipal (PROM).
2221	222	1	Seguretat pública	200001	Recull totes les despeses que fan referència a la protecció de les persones i béns i al manteniment de la tranquil.litat o ordre públic.
2231	223	1	Protecció civil	200001	Despeses relacionades amb la prevenció de calamitats o d'infortunis públics
3131	313	1	Serveis socials	305001	Prestar atenció social a la ciutadania de Molins de Rei.
3132	313	2	Vellesa - Dimensió comunitària	305001	Atenció població gran de Molins de Rei des del vessant comunitari, suport a entitats gent gran, colònies d'estiu, organització activitats diverses, etc.
3133	313	3	Vellesa - Atenció especialitzada	305001	Atenció integral a la població gran amb dependència - Llar d’avis “Dr. Josep Mestre”.
3134	313	4	Atenció a persones amb discapacitats	305001	Atenció social a persones amb discapacitats.
3221	322	1	Foment de l'ocupació	207001	
