IDPrograma	IDSubFuncio	Numero	NomPrograma	IDResponsable	Descripcio
0111	011	1	Endeutament	210001	Càrrega financera per operacions de crèdit.
1112	111	2	Dietes, despeses de viatges i altres anàlogues, de membres de la Corporació	100001	
1300	130	1	Administració General de la Seguretat i Protecció Civil	200001	Recull totes les despeses que fan referència a la protecció de les persones i béns i al manteniment de la tranquil.litat o ordre públic.
1321	132	1	Seguretat i Ordre Públic	200001	
1331	133	5	Estacionaments	430001	
1340	134	1	Serveis Generals Mobilitat	430001	
1341	134	1	Protecció civil	200001	Despeses relacionades amb la prevenció de calamitats o d'infortunis públics
1500	150	1	Serveis generals d'Urbanisme i Edificació	410001	El programa té com objectiu dotar la secció d'Edificació i Urbanisme dels mitjans materials i personals propis necessaris per a desenvolupar amb eficàcia l'activitat que li és pròpia, incloent les despeses prèvies a la redacció d'instruments de planejament i de gestió urbanística o a la seva execució.
1511	151	1	Urbanisme	410001	
1512	151	2	Disciplina urbanística	410001	El programa té com objectiu dotar el negociat d'Obres i Edificació dels recursos necessaris per a fer front a la tramitació i gestió dels expedients de disciplina urbanística derivats de l'activitat privada en processos de construcció o edificació.
1513	151	3	Planejament i gestió urbanística	410001	El programa té per objecte la redacció i tramitació dels instruments de planejament i gestió necessaris per al desenvolupament del territori, així com l'adquisició del patrimoni derivat de l'execució dels referits instruments.
1514	151	4	Desenvolupament Urbanístic	410001	El programa té per objectiu la gestió i l'execució del planejament urbanístic prèviament aprovat.
1515	151	5	Projectes interns	400001	
1521	152	1	Habitatge	400001	
1531	153	1	Millora de l'espai urbà	430001	
1551	155	1	Serveis Generals de l'espai urbà	430001	
1552	155	2	Noves actuacions a l'espai urbà	430001	
1553	155	3	Remodelació de l'espai urbà	430001	
1554	155	4	Manteniment de l'espai urbà	430001	
1611	161	1	Manteniment i millora d'infrastructures i serveis	430001	
1621	162	1	Gestió de residus	420001	Recollida de residus domiciliaris i comercials i serveis de la deixalleria, exeutats per concessió administrativa.
1632	163	2	Neteja viària	420001	Serveis de neteja viària prestats sota concessió administrativa.
1641	164	1	Cementiri municipal		Recull totes les actuacions relacionades amb la gestió del cementiri, tant a nivell de manteniment com administratiu, i les de la resta de serveis funeraris, inclòs el futur tanatori.
1651	165	1	Enllumenat públic	433001	
1701	170	1	Serveis generals de Medi Ambient	420001	Retribució del personal, assegurances i despeses fixes en equipament i convenis subscrits.
1702	170	7	Regulació d'activitats (llicències ambientals)	420001	Gestió tècnica i administrativa per la tramitació de llicències ambientals
1711	171	1	Jardineria	432001	
1721	172	3	Control Ambiental	420001	Elaboració d'Ordenances i ducuments de gestió pel control ambiental, així com medis materials pel control de la contaminació.
1722	172	4	Medi Natural	420001	Accions de seguiment i control en medi natural, així com  de millora i manteniment d'espais d'interès.
1723	172	5	Agenda 21	420001	Compliment dels compromisos de l'Agenda Local 21.
1724	172	6	Equipaments eficients i energies renovables	420001	Establir mesures destinades a reduir els consums energètics i d'aigua dels equipaments municipals.
1791	179	2	Educació ambiental	420001	Educació ambiental a escoles i promoció d'instal·lacions d'eficiència energètica.
2300	230	3	Vellesa - Atenció especialitzada	305001	Atenció integral a la població gran amb dependència - Llar d’avis “Dr. Josep Mestre”.
2311	231	1	Serveis socials	305001	Prestar atenció social a la ciutadania de Molins de Rei.
2312	231	2	Vellesa - Dimensió comunitària	305001	Atenció població gran de Molins de Rei des del vessant comunitari, suport a entitats gent gran, colònies d'estiu, organització activitats diverses, etc.
2313	231	3	Vellesa - Atenció especialitzada	305001	
2314	231	4	Atenció a persones amb discapacitats	305001	Atenció social a persones amb discapacitats.
2320	232	1	Activitats d'estiu	300001	
2321	232	1	Centre de mediació comunitària	300001	
2330	233	1	Adolescència i joventut	307001	
2331	233	2	Infància	307001	
2332	233	3	Dinamització comunitària (infància i joventut)	307001	
2333	233	4	Atenció a la infància	307001	Atenció social a la població infantil.
2340	234	1	Dona	300040	Dins del Programa de la Dona s'inclouen les accions encanimades impulsar i promocionar  a la igualtat d'opotunitats dona-home en tots els àmbits d'actuació. Una de le slínies finamental s d'actuació al llarg d'aquest any és realitzar una diagnosi que ha de permetre conèixer les necessitats i problemàtiques socials de les dones del municipi conjuntament amb els recursos municipals existents per donar resposta a aquestes demandes i necessitats. L’objectiu final és integrar efectivament la dimensió de gènere en les estructures, polítiques i programes del municipi.
2350	235	1	Pla municipal d'educació en els valors de la pau i la sensibilització	308001	
2351	235	2	Programes municipalistes de cooperació al desenvolupament	308001	
2352	235	3	Consell Consultiu Molins de Rei Solidària	308001	
2360	236	1	Immigració	308001	
2411	241	1	Foment de l'ocupació	207001	
3111	311	1	Sanitat	306001	El programa de Sanitat o salut de l'ajuntament de Molins de Rei recull totes les activitats que es realitzen des de l'ajuntament encaminades a la protecció i promoció de la salut, així com el control d'animals domèstics, salut escolar i suport entitats.La finalitat de totes aquestes accions és minimitzar al màxim els possibles riscos per a la slaut de les persones que vieune al municipi i potenciar els hàbits saludables, sensibilitzant a la població sobre la part de responsabilitat en la gestió de la seva pròpia salut. En cadascun dels subpromagrames correpsonents s'especifiquen els objectius específics així com les activitats que es duen a terme
3131	313	1	Sanitat	306001	El programa de Sanitat o salut de l'ajuntament de Molins de Rei recull totes les activitats que es realitzen des de l'ajuntament encaminades a la protecció i promoció de la salut, així com el control d'animals domèstics, salut escolar i suport entitats.La finalitat de totes aquestes accions és minimitzar al màxim els possibles riscos per a la slaut de les persones que vieune al municipi i potenciar els hàbits saludables, sensibilitzant a la població sobre la part de responsabilitat en la gestió de la seva pròpia salut. En cadascun dels subpromagrames correpsonents s'especifiquen els objectius específics així com les activitats que es duen a terme
3200	320	1	Serveis generals d'Educació	304001	
3201	320	0	Ús social d'equipaments educatius	304001	
3202	320	5	Serveis a centres educatius de la Generalitat de Catalunya	304001	
3203	320	6	Activitats educatives	304001	
3204	320	9	Participació educativa	304001	
3205	320	8	Suport associatiu	304001	
3211	321	2	Llars d'infants municipals	304001	
3212	321	2	Centres educatius d'infantil i primària	304001	
3241	324	3	Ensenyaments musicals	304001	
3242	324	4	Programes de Qualificació Professional Inicial	304001	
3243	324	3	Serveis complementaris d'educació	304001	
3244	324	7	Accions per a la millora de l'èxit escolar a l'ESO	304001	
3300	330	2	Promoció i difusió de la cultura	302001	
3302	330	9	Ca n'Ametller - Equipament socio-cultural	302001	
3321	332	3	Foment de la lectura	302001	
3322	332	5	Gestió documental i Arxiu municipal	302001	
3331	333	4	Museu Municipal	302001	
3341	334	1	Política lingüística	300001	
3342	334	2	Acció cultural	312001	
3343	334	8	Projectes culturals singulars	302001	
3361	336	1	Patrimoni arquitectònic i arqueològic	302001	
3386	338	6	Patrimoni cultura popular i tradicional	302001	
3400	340	5	Serveis generals d'Esports	303001	
3401	340	1	Administració general d'esports	303001	
3402	340	2	Serveis esportius municipals	303001	
3403	340	3	Serveis generals d'esports	303001	
3411	341	1	Activitats de promoció esportiva	303001	Promoció de l'esport a la població en general amb activitats organitzades des del Negociat d'esports i adreçades a les diferents franges d'edat.
3412	341	2	Relacions amb les entitats esportives	303001	
3413	341	3	Relacions amb les entitats esportives	303001	
3424	342	4	Instal·lacions esportives municipals	303001	
4301	430	1	Fira, comerç i turisme	207601	
4302	430	2	Fires, mostres i trobades	207601	
4303	430	4	Promoció econòmica	207001	
4311	431	3	Comerç	207601	
4312	431	5	Mercats	200001	
4321	432	1	Turisme	207601	
4331	433	1	Promoció Econòmica	507001	
4391	439	1	Fires, mostres i trobades	507601	
4413	441	4	Transport públic	430001	
4430	443	1	Serveis Generals Mobilitat	430001	
4431	443	2	Millora de la mobilitat	430001	
4500	450	1	Serveis generals de millora de l'espai urbà	430001	
4501	450	1	Manteniment i millora de les infrastructures i serveis	430001	
4510	451	0	Serveis culturals generals	302001	
4664	466	4	Convenis institucionals	308001	
4911	491	1	Societat del coneixement	100001	Actuacions per al desenvolupament de la societat del coneixement a Molins de Rei.
4940	494	2	Comunicació social	102001	Activitats de comunicació social, i d'altres relacionades.
5133	513	3	Xarxa semafòrica	430001	
6226	622	6	Consum	500001	
9121	912	1	Despeses dels òrgans de govern i d'Alcaldia	100001	- Assignacions i indemnitzacions del President i altres membres de la Corporació.  - Retribucions del personal de l'àrea d'Alcaldia. - Dietes i despeses de viatges, i altres despeses de naturalesa anàloga, dels membres de la Corporació, i dels grups polítics. - Despeses generals dels òrgans de govern i de l'àrea d'Alcaldia.
9201	920	1	Serveis Generals	200001	Serveis que tenen com a finalitat donar els mitjans materials necessaries a la resta de Negociats de l'Ajuntament per tal de que aquests puguin assolir els seus objetius.
9202	920	2	Personal i Organització	205201	Gestió de personal no assignat a programes específics.
9211	921	1	Serveis generals	200001	Serveis que tenen com a finalitat donar els mitjans materials necessaries a la resta de Negociats de l'Ajuntament per tal de que aquests puguin assolir els seus objetius.
9212	921	2	Personal i organització	205001	Gestió de personal no assignat a programes específics.
9213	921	3	Informàtica	205401	Programa que recull totes les despeses en serveis informàtics que no s'hagin distribuit entre les diferentes activitats que presta l'Ajuntament
9214	921	4	Secretaria i serveis jurídics	203001	Recull totes les despeses de secretaria i serveis juridics
9216	921	6	Comunicació i imatge corporativa	102001	Activitats de comunicació interna i externa derivades de l'actuació municipal, i gestió de la imatge corporativa.
9221	922	5	Administració general de les àrees	100001	
9222	922	7	Suport a l'activitat institucional	101001	Activitats derivades del protocol institucional comú o d'Alcaldia, així com materials i altres complements necessaris per al seu desenvolupament.
9223	922	8	Millora organitzativa	100001	Activitats per a la millora de l'organització municipal i la gestió de la qualitat. Pla de Reestructuració de l'Organització Municipal (PROM).
9224	922	7	Centre de recursos	302001	
9241	924	1	Participació ciutadana	100001	Activitats de participació ciutadana genèriques, comuns, o no emmarcades en cap altre programa d'actuació municipal.
9250	925	3	Sistema d'atenció a la ciutadania (SAC)	205601	Programa que recull totes les activitats i despeses relacionades amb l'atenció i informació al vilatà.
9300	930	0	Admin. dels recursos humans de l'Adm. Financera i Tributària	200001	
9311	931	1	Administració financera	210001	Gestió dels recursos econòmics de l'Ajuntament. Gestió tributària, econòmica i patrimonial.
9321	932	1	Gestió tributària	213001	
9331	933	1	Manteniment i millora del patrimoni edificat i no edificat	430001	
9332	933	2	Pla d'equipaments	100001	
9333	933	6	Projectes d'edificació pròpia	400001	
9341	934	1	Gestió del Deute i de la Tresoreria	212001	
9441	944	1	Transferències a administracions públiques	210001	Transferències de les quotes o aportacions a ens públics, amb caràcter obligatori, en les quals l'Ajuntament hi és membre
