IDSubPrograma	IDPersona	Dedicacio	IDPersonaAntic
130001	146	1	44
130001	712	1	
130001	992	1	224
130001	1077	1	
130001	1155	1	
130001	1228	1	
130001	1229	1	
130001	30004	1	70
130001	30938	1	
130001	30945	1	
132101	536	1	65
132101	30064	1	
132102	1048	1	
132102	1072	1	
132102	1103	1	
132102	1152	1	
132102	10107	1	
132102	30045	1	266
132102	30046	1	267
132102	30047	1	268
132102	30067	1	
132102	31022	0	
132103	19	1	48
132103	21	1	51
132103	32	1	66
132103	37	1	46
132103	38	1	47
132103	39	1	57
132103	40	1	64
132103	41	1	67
132103	390	1	61
132103	484	1	56
132103	638	1	58
132103	762	1	55
132103	763	1	107
132103	764	1	52
132103	765	1	49
132103	766	1	63
132103	897	1	200
132103	1001	1	
132103	1002	1	
132103	1004	1	
132103	1049	1	
132103	1067	1	
132103	1068	1	
132103	1069	1	
132103	1071	1	
132103	1073	1	
132103	1100	1	
132103	1102	1	
132103	1105	1	
132103	1151	1	
132103	1154	1	
132103	1181	1	
132103	1182	1	
132103	1338	1	
132103	1339	1	
132103	1340	1	
132103	1341	1	
132103	30002	1	62
132103	30003	1	69
132103	30008	1	127
132103	30009	1	131
132103	30014	1	209
132103	30056	1	
132103	30057	1	
132103	30951	1	
132103	30952	1	
132103	30953	1	
132103	30956	1	
132103	30959	1	
132103	30963	1	
132103	30967	1	
132103	30997	1	
132103	31008	1	
132104	107	1	147
132104	874	1	229
132104	1079	1	
132104	1113	1	
132104	30970	1	
132104	30971	1	
132104	30972	1	
132104	30982	1	
132104	31001	1	
132104	31005	1	
132105	317	1	68
150001	45	1	27
150001	143	1	108
150001	868	1	
150001	1043	1	193
150001	1245	1	
150001	30985	1	
150001	31030	0	
151101	278	1	28
151101	321	1	89
151101	31004	1	
151501	592	1	40
151501	738	1	109
151501	862	1	185
152101	1029	1	
152101	1083	1	
152101	1153	1	
152101	30058	1	
152101	30059	1	
152101	30958	1	
152101	30981	1	
152101	31015	1	
164101	543	1	124
164101	30995	1	
170101	49	1	33
170101	419	1	154
170101	557	1	31
170101	904	1	205
170101	993	1	5
170101	30007	1	99
170101	30965	1	
170201	148	1	135
170201	30954	1	
170201	30955	1	
230001	680	1	
230001	30069	1	
230001	30901	1	
230001	30942	1	
231102	165	1	91
231102	932	1	206
231102	30062	1	
231301	51	1	113
231301	80	1	114
231301	136	1	143
231301	259	1	213
231301	452	1	117
231301	501	1	115
231301	527	1	198
231301	532	1	212
231301	588	1	149
231301	646	1	196
231301	691	1	210
231301	761	1	211
231301	800	1	
231301	854	1	199
231301	864	1	
231301	865	1	42
231301	30026	1	237
231301	30061	1	
232001	30011	1	153
232001	30035	1	247
233001	1052	1	311
233001	30006	1	93
233004	1108	1	
233004	30050	1	272
233201	994	1	95
233201	30962	1	
233202	586	1	215
233202	30957	1	
235102	291	1	197
241101	648	1	250
241103	283	1	262
241103	319	1	261
241103	405	1	260
241103	1085	1	
241103	30042	1	259
313101	285	1	79
313103	105	1	116
313103	461	1	190
313103	1187	0	
313103	1221	0	
313103	1224	0	
313103	30052	1	275
313103	30964	1	
313103	30974	1	
313103	31026	0	
313103	31027	0	
313107	142	1	111
313107	155	1	119
320001	338	1	
320001	30049	1	271
320001	31020	1	
320001	31025	0	
320001	31028	0	
321101	13	1	13
321101	14	1	
321101	18	1	12
321101	20	1	15
321101	131	1	14
321101	1027	1	133
321101	1211	1	
321101	1252	1	
321101	30063	1	
321101	31009	1	
321101	31010	1	
321101	31031	0	
321201	610	1	73
321202	359	1	214
321202	893	1	
321202	30933	1	
321203	346	1	178
321204	575	1	134
321205	61	1	72
321206	95	1	230
321207	393	1	18
322104	30041	1	256
324101	59	1	172
324101	66	1	164
324101	73	1	165
324101	76	1	166
324101	97	1	168
324101	98	1	174
324101	133	1	163
324101	324	1	173
324101	473	1	171
324101	727	1	167
324101	870	1	169
324101	30984	1	
324101	30996	1	
324101	31017	1	
324101	31018	1	
324101	31023	0	
324201	599	1	
324201	30028	1	240
324201	30931	1	
324401	694	1	
324401	832	1	
324401	987	1	
324401	30032	1	244
324401	30033	1	245
324401	30034	1	246
330001	100	1	159
330001	30071	1	
330201	197	1	179
330201	418	1	202
332101	35	1	17
332101	458	1	175
332101	709	1	187
332101	856	1	
332101	30019	1	222
332101	30944	1	
332201	620	1	
332201	1000	1	
340001	50	1	102
340001	106	1	146
340001	108	1	148
340001	647	1	139
340001	871	1	151
340001	30011	1	153
340001	30070	1	
340001	30961	1	
