IDSubPrograma	IDPrograma	Numero	NomSubPrograma	IDResponsableTecnic	IDResponsableElecte	ServeiObligatori	AcordsCorporatius	Naturalesa	Objectius	Activitats	Observacions
011101	0111	01	Endeutament	212001	902004	Falso	Verdadero	Nou servei	Control de la càrrega financera de l'exercici 2005.	Execució de contractes i nova contractació de les operacions de préstec a llarg termini per finançament d'inversions previstes al pressupost	Execució de contractes i nova contractació de les operacions de préstec a llarg termini per finançament d'inversions previstes al pressupost
111101	1111	01	Retribucions i altres despeses dels membres de la Corporació	205201		Falso	Verdadero	Continuació de serveis	Satisfer les obligacions de l'Ajuntament amb els membres de la Corporació, pel que fa a retribucions i despeses socials derivades.	Pagament periòdic de les obligacions retributives i relacionades.	- Increment del 3,00%, respecte 2004. - S'incorpora una partida per despeses d'activitats formatives i equivalents per a membres de l'equip de Govern, per facilitar la realització d'accions formatives i similars (assistència a jornades, seminaris, conferències...).
111102	1111	02	Transferències a grups polítics de la Corporació	205201		Falso	Verdadero	Continuació de serveis	Proporcionar als grups polítics municipals recursos suficients per a dur a terme la seva activitat, d'acord amb els acords corporatius.	- Transferència periòdica dels fons assignats.	- Increment del 2,00% respecte 2004.
111104	1111	04	Dietes i altres despeses anàlogues de membres de la Corporació	101001	900001	Falso	Falso	Continuació de serveis	Facilitar la realització d'activitats institucionals dels membres de la Corporació.	Pagament de les despeses justificades, originades per l'activitat dels membres de la Corporació.	Les partides s'incrementen en un 2,79%.
121101	1211	01	Subscripcions	205001		Falso	Verdadero	Continuació de serveis	Continuació de serveis.	Gestionar de forma centralitzada totes les subscripcions i compres de llibres.	
121102	1211	02	Reprografia	205001		Falso	Verdadero	Continuació de serveis			
121103	1211	03	Material i consumibles d'oficina	205001		Verdadero	Falso	Continuació de serveis	Subministrar material d'oficina als diferents serveis municipals	Subministrar al personal de l'Ajuntament les eines d'oficina necessàries perquè puguin dur a terme la seva feina.	
121105	1211	05	Altres subministraments interns	205001		Verdadero	Falso	Continuació de serveis		Posar a disposició del personal de l'Ajuntament altres serveis o materials no incoporats als altres subprogrames	- Tenir en compte les assegurances d'edificis de titularitat municipal i ús no administratiu o tècnic.
121202	1212	02	Pla i programa de formació	100001	902004	Verdadero	Verdadero	Continuació de serveis	Assegurar la correcta formació continuada del personal de l'Ajuntament.	- Finançar el programa de formació de l'Ajuntament (programa propi). - Finançar la participació del personal en accions no programades.	- Increment del 8,70% per les partides de formació programada. - Increment del 5,00% per la partida de suport a la formació personal. - Manteniment de l'import de 2005 per les partides de formació no programada.
121203	1212	03	Productivitat	205201		Verdadero	Falso	Continuació de serveis			
121204	1212	04	Prestacions socials	205201		Verdadero	Falso	Continuació de serveis			
121205	1212	05	Indemnitzacions	205201		Verdadero	Falso	Continuació de serveis			
121207	1212	07	Selecció de personal	205201		Verdadero	Falso	Continuació de serveis	Garantir que els processos de selecció de personal asseguren la màxima adequació persona / lloc de treball.	Recollir totes les despeses que es realitzen durant els processos de selecció de personal.	
121208	1212	08	Control presencial	205201		Falso	Verdadero	Continuació de serveis		Implantar un nou sistema de control presencial per tot el personal de l'Ajuntament.	- Aquest sistema de control presencial ha de permetre l'aplicació pràctica de diversos acords assolits en el marc de la negociació col·lectiva.
121302	1213	02	Protecció de dades	205401	902001	Verdadero	Falso	Continuació de serveis	Assegurar una correcta protecció de les dades personals que gestiona i utilitza l'Ajuntament.	Adequar i auditar la informació de la Corporació al que indica la Llei Orgànica de Protecció de Dades.	 - Protecció de dades: Continuació manteniment Llei Protecció de dades.
121303	1213	03	Ofimàtica	205401	902001	Falso	Verdadero	Continuació de serveis	Dotar als usuaris de les eines necessaries per desenvolupar les seves tasques, tot garantint la legalitat de les llicències.		- Pressupost adquisició programari de tractament d'imatges, per a l'àmbit de Comunicació:     · Adobe Photoshop CS: 1.228,44 € (IVA inclós).     · Macromedia Freehand MX: 520,84 € (IVA inclós).  - Pressupost adquisició de noves llicències:    · 55 llicències Office XP = 24.116,40€    · 55 llicències Office XP software assurance = 14.036,00€    · 15 llicències accés Exchange = 783,00€    · 15 llicències accés Exchange software assurance = 382,00€
121304	1213	04	Programari de gestió	205401	902001	Falso	Verdadero	Continuació de serveis	Garantir el correcte funcionament del motor de les bases de dades on s'emmagatzema la informació de la corporació.		Manteniment Bases de Dades Oracle de emmagatzematge de dades.
121305	1213	05	Manteniment de maquinari informàtic	205401	902001	Falso	Verdadero	Continuació de serveis	Garantir el correcte funcionament de tot el maquinari del sistema informàtic d'ús comú (servidors).		Manteniment servidors HP
