IDPlaça	NomPlaça	IDClassePlaça	IDEscala	IDSubEscala	IDClasse	IDCategoria	CategoriaLaboral	GrupClassificacio	IDTipusAcces	IDSistemaAcces	Pressupostat	Ofertable	OPO_Any	Amortitzar	PromocioInterna	DataCreacio	ExpedientCreacio	DataConvocatoria	DataSupressio	ExpedientSupressio	Observacions
1	Secretari/a	1	1	101	10100	1010001		A1	1	13	1	Falso		Falso	Falso						
2	Tècnic/a de l'administració general	1	2	201	20100	2010000		A1	1	13	1	Falso		Falso	Falso						
3	Tècnic/a de l'administració general	1	2	201	20100	2010000		A1	1	13	1	Falso		Falso	Falso						
4	Graduat/da social	1	3	301	30102	3010201		A2	1	13	1	Falso		Falso	Falso						
6	Administratiu/va	1	2	203	20300	2030000		C1	1	13	1	Falso		Falso	Falso						
8	Administratiu/va	1	2	203	20300	2030000		C1	1	13	1	Falso		Falso	Falso						
9	Administratiu/va	1	2	203	20300	2030000		C1	1	13	1	Falso		Falso	Falso						
10	Administratiu/va	1	2	203	20300	2030000		C1	1	13	1	Falso		Falso	Falso						Secretaria Alcalde
11	Ciències de la informació	1	3	301	30101	3010101		A1	1	13	1	Falso		Falso	Falso						
12	Diplomat/da en educació infantil	1	3	301	30102	3010201		A2	1	13	1	Falso		Falso	Falso						
14	Puericultor/a	2	0	0	0	0		C1	1	13	1	Falso		Falso	Falso						
15	Puericultor/a	1	3	302	30203	3020300		C1	1	13	0	Falso		Falso	Falso						
16	Puericultor/a	2	0	0	0	0		C1	1	13	1	Verdadero	2008	Falso	Falso						
18	Subaltern/a	1	2	205	20500	2050000		E	2	13	1	Falso	0	Falso	Falso						
19	Subaltern/a	1	2	205	20500	2050000		E	2	13	1	Falso	0	Falso	Falso						
20	Subaltern/a	1	2	205	20500	2050000		E	2	13	1	Falso	0	Falso	Falso						
21	Tècnic/a mitjà/na de gestió	1	3	301	30102	3010201		A2	1	13	1	Falso		Falso	Falso						Aquesta plaça era aux administratiu de l'adm general i es tranforma en una plaça de tècnic mitjà de gestió A2 per assignarlo a lloc de tècnic 1era acollida i mediació(3280.04).
22	Administratiu/va	1	2	203	20300	2030000		C1	1	13	1	Falso		Falso	Falso						
23	Ajudant de serveis	1	3	302	30203	3020300		C2	1	13	1	Falso		Falso	Falso						Pressupost 2026: Es modifica plaça 23 d'aux administratiu funcionari a Ajudant de serveis (TAE) i s'adscriu al lloc 4010.11 edifici SIT
