IDSubPrograma	IDPrograma	Numero	NomSubPrograma	IDResponsableTecnic	IDResponsableElecte	ServeiObligatori	AcordsCorporatius	Naturalesa	Objectius	Activitats	Observacions
011101	0111	01	Endeutament	212001	902004	Falso	Verdadero	Continuació de serveis	Control de la càrrega financera de l'exercici 2009.	Execució de contractes i nova contractació de les operacions de préstec a llarg termini per finançament d'inversions previstes al pressupost	 En aquestes partides es preveu la incidència de l'amortització anticipada a 01 de juliol 09 , d'un milió d'euros , provinents de la subvenció del Ministerio de la Vivienda pel programa del Mercat Municipal.
130000	1300	00	Admin. Dels recursos humans de seguretat i protecció civil	200001	900001	Falso	Falso				
130001	1300	01	Guàrdia Urbana	221001	902005	Verdadero	Falso	Continuació de serveis	Recollir totes les despeses genèriques del cos de la Guàrdia Urbana.		Neteja edifici G.Urbana: inclou la neteja del pati, terrasses i escales edifici G.Urbana
132101	1321	02	Medi Ambient	221001	902005	Verdadero	Falso	Continuació de serveis			
132102	1321	03	Policia de proximitat	221001	902005	Verdadero	Falso	Continuació de serveis			
132103	1321	04	Vigilància territorial	221001	902005	Verdadero	Falso	Continuació de serveis			
132104	1321	05	Governació	200001	902005	Verdadero	Falso	Continuació de serveis			
132105	1321	07	Pla Local de Seguretat	200001	902005	Falso	Verdadero	Continuació de serveis			
133101	1331	06	Retirada de vehicles de la via pública	200001	902005	Verdadero	Verdadero	Continuació de serveis			
133102	1331	01	Prestació del Servei d'aparcament regulat	431001	904010	Falso	Falso				
133103	1331	04	Semaforització	431001	904010	Verdadero	Verdadero	Continuació de serveis	Fer el manteniment de la xarxa semafòrica del municipi. Progressivament anar legalitzant les instal.lacions semafòriques i subsanar problemes tècnics de programació. Invertir en la millora de les lluminàries dels semafors per millorar la visibilitat i baixar el consum elèctric, i també crear nous passos semaforitzats per vianants.	- Contracte de manteniment. (24.518,87euros) - Contracte de manteniment part variable (accidents): (7.000,00 euros)	1. Ordinari: - Pressupost de licitació del concurs de manteniment. - Pressupost lligat al contracte de manteniment ( part variable): aquests diners no estan inclosos dins de la plica  però estan destinats a pal.liar les despeses que provoquen els accidents de trànsit sobre els semàfors.
134001	1340	01	Mobilitat: Activitats comunes	431001	904001	Falso	Falso	Continuació de serveis		- Despeses personal.	
134101	1341	01	Protecció Civil	200001	902005	Verdadero	Falso	Continuació de serveis	Elaborar i posar en marxa els plans d'actuació municiipal en cas d'emergències.		
150000	1500	00	Admin dels recursos humans d'Urbanisme, Edificació i Habitatge	400001		Falso	Falso				
150001	1500	01	Planejament i Gestió Urbanística: activitats comuns	400001	904002	Verdadero	Falso	Continuació de serveis	Dotar la secció d'Edificació i Urbanisme dels mitjans propis materials i personals necessaris per al seu bon funcionament.	- Retribució del personal de la secció. - Dotació de mitjans tècnics i materials de la secció. - Assegurança de responsabilitat civil	Cal veure qui està inclòs en l'assegurança que es paga. La proposta és que hi hagi assegurades les següents persones:  J. Magrané, J. Estrada, A. Ribé, Marga Lòpez-Nieto  L'import que es proposa és 1.600 per persona = 6.400 euros
150002	1500	02	Habitatge: Activitats Comuns	410001		Falso	Falso				
151101	1511	03	Edificació i usos del sòl: activitats comuns	405001	904001	Verdadero	Verdadero	Nou servei			
151102	1511	02	Despeses preliminars	410001	904002	Falso	Falso	Continuació de serveis	- Dotar la secció d'Urbanisme i Edificació de la informació, estudis, treballs o prospeccions necessaris per a la posterior redacció d'instruments de planejament i de gestió urbanística. - Redactar instruments de planejament i gestió, quan no siguin assumits pel propi servei.	Encàrrec extern de treballs topogràfics, prospeccions geotècniques, informes, estudis, etc. Certificats i notes registrals associats a la redacció de planejament. Als instruments de gestió ?	
151201	1512	01	Assessorament extern en disciplina urbanística	412001	904002	Verdadero	Verdadero	Continuació de serveis	Dotar el negociat d'Obres i Edificació de l'assessoria i suport jurídic necessaris en els procediments de protecció de la legalitat urbanística derivats de l'activitat privada en processos de construcció o edificació.	Assessorament en expedients de protecció de la legalitat urbanística (suspensió d'obres, requeriments de legalització, restauració de la realitat física alterada, infraccions urbanístiques i sancions)	
151202	1512	02	Execucions subsidiàries	412001	904003	Verdadero	Verdadero	Continuació de serveis	Realitzar les execucions subsidiàries d'actuacions derivades de l'incompliment pels privats de les ordres d'execució dictades per l'Ajuntament, amb l'objectiu de garantir la seguretat i salubritat dels terrenys i edificis i la preservació o restitució de la realitat física alterada per una infracció urbanística.	Execució subsidiària de moviments de terra, obres, enderrocs o instal·lacions, inclosa la redacció de projectes i estudis, la direcció facultativa, el control de qualitat, la seguretat i salut,etc.	Indemnització si no es fa la segona fase d'enderroc C.S.Joan, 3
151301	1513	03	Convenis urbanístics	410001	904002	Falso	Falso	Continuació de serveis	Dotar la secció d'Edificació i Urbanisme dels recursos necessaris per a la redacció i gestió dels convenis urbanístics necessaris per al correcte desenvolupament del territori.		
151302	1513	02	Redacció de planejament	410001	904002	Falso	Verdadero	Continuació de serveis	Redactar els instruments de planejament, gestió i ordenances necessaries per l'ordenament del territori i per a la protecció del patrimoni de la vila.	- Redacció dels estudis d'impacte ambiental de La Rierada i Vallpineda. - Redacció d'instruments de planejament o gestió diversos. - Despeses associades a la redacció d'instruments de planejament (certificats o notes registrals, etc)	36.000 €: Redacció estudis impacte ambiental La Rierada i Vallpineda 12.000 €: Redacció altre planejament i gestió, despeses associades
