IDSubPrograma	IDPersona	Dedicacio	IDPersonaAntic
130000	37	0	46
130000	38	1	47
130000	39	1	57
130000	40	1	64
130000	146	1	44
130000	317	1	68
130000	536	1	65
130000	651	1	
130000	712	1	
130000	718	1	
130000	762	1	55
130000	763	1	
130000	765	1	49
130000	766	1	63
130000	891	1	
130000	914	1	
130000	992	1	
130000	1048	1	
130000	1049	1	
130000	1067	1	
130000	1069	1	
130000	1071	1	
130000	1072	1	
130000	1073	1	
130000	1079	1	
130000	1100	1	
130000	1102	1	
130000	1105	1	
130000	1151	1	
130000	1152	1	
130000	1155	1	
130000	1181	1	
130000	1339	1	
130000	1340	1	
130000	1385	1	
130000	1395	1	
130000	1528	1	
130000	1529	1	
130000	1532	1	
130000	1564	1	
130000	1573	1	
130000	1591	1	
130000	1604	1	
130000	1625	1	
130000	1630	1	
130000	1631	1	
130000	1662	1	
130000	1666	1	
130000	1713	1	
130000	1714	1	
130000	1751	1	
130000	1754	1	
130000	1758	1	
130000	1759	1	
130000	1792	1	
130000	1803	1	
130000	1942	1	
130000	1944	1	
130000	1945	1	
130000	1946	1	
130000	1947	1	
130000	1948	1	
130000	1949	1	
130000	2030	1	
130000	2112	1	
130000	2149	1	
130000	2322	1	
130000	2323	1	
130000	2334	1	
130000	30064	1	
130000	31001	1	
130000	31069	1	
130000	31089	1	
130000	31090	1	
130000	31097	1	
130000	31105	1	
130000	31110	1	
130000	31112	1	
130000	31113	1	
130000	31114	1	
130000	31120	1	
130000	31121	1	
130000	31124	1	
130000	31125	1	
130000	31127	1	
130000	31128	1	
130000	31144	1	
130000	31145	1	
130000	31146	1	
130000	31147	1	
130000	31148	1	
130000	31149	1	
130000	31150	1	
130000	31151	1	
130000	31180	1	
130000	31194	1	
130000	31195	1	
130000	31196	0	
130000	31208	1	
130000	31210	1	
130000	31227	1	
130000	31228	1	
130000	31230	1	
130000	31245	1	
130000	31246	1	
130000	31247	1	
130000	31248	1	
130000	31249	1	
130000	31260	1	
130000	31262	1	
130000	31264	1	
130000	31265	1	
130000	31286	1	
130000	31315	1	
130000	31322	1	
130000	31325	1	
130000	31326	1	
130000	31327	1	
134001	760	1	182
134001	2019	1	
134001	31081	1	
134001	31308	1	
150000	143	1	108
150000	278	1	28
150000	592	1	40
150000	738	1	109
150000	862	1	185
150000	1153	1	
150000	1245	1	
150000	1311	1	
150000	1534	1	
150000	1791	1	
150000	1943	1	
150000	1985	1	
150000	31004	1	
150000	31261	1	
150000	31324	1	
150000	31330	1	
153100	139	1	
153100	451	1	137
153100	487	0	
153100	509	1	138
153100	749	1	
153100	928	1	
153100	1094	1	
153100	1223	1	
153100	1335	1	
153100	1345	1	
153100	1384	1	
153100	1392	1	
153100	1448	1	
153100	1546	0	
153100	1586	1	
164101	1583	1	
164101	1880	1	
164101	30995	1	
170101	557	1	31
170101	1168	1	
170101	31109	1	
170101	31305	1	
230000	51	1	113
230000	80	1	114
230000	87	1	186
230000	105	1	116
230000	136	1	143
230000	153	1	
230000	165	1	91
230000	291	1	197
230000	452	1	117
230000	454	1	35
230000	496	0	
230000	501	1	115
230000	527	1	198
230000	532	1	212
230000	588	1	149
230000	691	1	210
230000	761	1	211
230000	800	1	
230000	854	1	199
230000	864	1	
230000	932	1	206
230000	949	1	
230000	990	1	
230000	1001	1	
230000	1052	1	311
230000	1074	1	
230000	1108	1	
230000	1166	1	
230000	1175	1	
230000	1187	1	
230000	1221	1	
230000	1224	1	
230000	1324	1	
230000	1378	1	
230000	1379	1	
230000	1454	1	
230000	1621	1	
230000	1731	1	
230000	1733	1	
230000	1777	1	
230000	1802	1	
230000	1807	1	
230000	1820	1	
230000	1832	1	
230000	1861	1	
230000	1893	1	
230000	1894	1	
230000	1906	1	
230000	1975	1	
230000	2078	1	
230000	2203	1	
230000	2243	1	
230000	2374	1	
230000	2465	1	
230000	31075	1	
230000	31076	1	
230000	31134	1	
230000	31140	1	
230000	31205	1	
230000	31226	1	
230000	31229	1	
230000	31235	1	
230000	31237	1	
230000	31258	1	
230000	31276	1	
230000	31290	1	
230000	31306	1	
230000	31323	1	
241101	31223	1	
241102	31222	1	
241103	319	1	261
241103	405	1	260
241103	31117	1	
241103	31216	1	
241103	31217	0	
241103	31225	0	
311101	142	1	111
311101	285	1	79
311101	31252	1	
313101	31080	1	
320001	18	0	12
320001	20	1	15
320001	59	1	172
320001	66	1	
320001	73	1	165
320001	76	1	166
320001	95	1	230
320001	97	1	168
320001	98	1	174
320001	124	1	
320001	131	1	14
320001	259	1	213
320001	324	1	173
320001	338	1	
320001	359	1	214
320001	387	1	20
320001	473	1	171
320001	562	1	
320001	575	1	134
320001	610	1	73
320001	615	1	43
320001	694	1	
320001	832	1	
320001	870	1	169
320001	939	1	
320001	987	1	
320001	997	1	
320001	998	1	
320001	1002	0	
320001	1027	1	133
320001	1201	1	
320001	1252	1	
320001	1309	1	
320001	1358	1	
320001	1381	1	
320001	1430	1	
320001	1437	1	
320001	1505	1	
320001	1509	1	
320001	1544	1	
320001	1624	1	
320001	1627	1	
320001	1681	1	
320001	1716	1	
320001	1726	1	
320001	1809	1	
320001	1887	1	
320001	1889	1	
320001	2011	1	
320001	2017	1	
320001	2068	1	
320001	2069	1	
320001	2114	1	
320001	2116	1	
320001	2122	1	
320001	2165	1	
320001	2166	1	
320001	31031	1	
320001	31063	1	
320001	31106	1	
320001	31115	1	
320001	31118	1	
320001	31154	1	
320001	31155	1	
320001	31202	1	
320001	31224	1	
320001	31263	1	
320001	31272	1	
320001	31294	1	
320001	31295	1	
320001	31299	1	
320001	31303	1	
320001	31304	1	
320001	31307	1	
320001	31309	1	
330001	100	1	159
330001	461	1	190
330001	620	1	
330001	644	1	
330001	709	1	187
330001	859	1	
330001	1091	1	
330001	1212	1	
330001	1367	1	
330001	1850	0	
330001	1913	1	
330001	1972	1	
330001	2198	1	
330001	2210	1	
330001	2315	1	
330001	2317	1	
330001	2343	1	
330001	2476	1	
330001	31101	1	
330001	31119	10	
330001	31139	1	
330001	31198	1	
330001	31199	1	
330001	31200	1	
330001	31201	1	
330001	31204	1	
330001	31215	1	
330001	31218	1	
330001	31240	1	
332201	2345	1	
332201	31197	1	
340001	50	1	102
340001	106	1	146
340001	108	1	148
340001	553	1	
340001	703	1	188
340001	1622	1	
340001	31274	1	
340001	31275	1	
430100	46	1	8
430100	49	1	33
430100	128	1	217
430100	283	1	262
430100	328	1	216
430100	504	1	248
430100	625	1	103
430100	648	1	250
430100	895	1	
430100	929	1	
430100	970	1	77
430100	1026	1	
430100	1085	1	
430100	1207	1	
430100	1222	1	
430100	1238	1	
430100	1249	1	
430100	1312	1	
430100	1348	1	
430100	1416	1	
430100	1501	1	
430100	1538	1	
430100	1539	1	
430100	1565	1	
430100	1606	1	
430100	1637	1	
430100	1638	1	
430100	1694	1	
430100	1709	1	
430100	1768	1	
430100	1790	1	
430100	1836	1	
430100	1983	1	
430100	2056	1	
430100	2124	1	
430100	2244	1	
430100	30036	1	249
430100	30954	1	
430100	30966	1	
430100	30986	1	
430100	31086	1	
430100	31160	1	
430100	31193	1	
430100	31209	1	
430100	31219	1	
430100	31220	1	
430100	31221	1	
430100	31270	1	
430100	31271	1	
430100	31288	1	
441301	36	0	29
